"general_id","idprovince","province"
"548765953","ITC4C","Milano"
"595436487","ITC4C","Milano"
"509995268","ITC4C","Milano"
"614835392","ITC47","Brescia"
"590634264","ITC4C","Milano"
"606426006","ITC49","Lodi"
"580755360","ITC4C","Milano"
"503824849","ITC46","Bergamo"
"567173688","ITC48","Pavia"
"586694861","ITC47","Brescia"
"532530718","ITC4D","Monza e della Brianza"
"566762720","ITC4C","Milano"
"542327987","ITC48","Pavia"
"574806672","ITC4C","Milano"
"596136378","ITC46","Bergamo"
"572285273","ITC4C","Milano"
"590151440","ITC4C","Milano"
"533524679","ITC4C","Milano"
"542356990","ITC4C","Milano"
"488275981","ITC4C","Milano"
"578219066","ITC4C","Milano"
"566727453","ITC48","Pavia"
"582600154","ITC4C","Milano"
"597986119","ITC4C","Milano"
"558341815","ITC41","Varese"
"504308798","ITC4C","Milano"
"606532459","ITC46","Bergamo"
"614464954","ITC47","Brescia"
"612565427","ITC4C","Milano"
"547901596","ITC47","Brescia"
"605069387","ITC4C","Milano"
"580480396","ITC41","Varese"
"565898348","ITC4C","Milano"
"615471818","ITC4D","Monza e della Brianza"
"542326817","ITC46","Bergamo"
"576585177","ITC4C","Milano"
"591309601","ITC47","Brescia"
"542327533","ITC4C","Milano"
"557555885","ITC46","Bergamo"
"591311568","ITC4C","Milano"
"590151751","ITC4B","Mantova"
"573947253","ITC4C","Milano"
"561534721","ITC4C","Milano"
"606531979","ITC4C","Milano"
"547533335","ITC4C","Milano"
"600007433","ITC46","Bergamo"
"533465026","ITC47","Brescia"
"548917844","ITC42","Como"
"612565493","ITC4C","Milano"
"543468797","ITC47","Brescia"
"561536461","ITC41","Varese"
"580414553","ITC48","Pavia"
"576802256","ITC4C","Milano"
"595436470","ITC47","Brescia"
"552347723","ITC4C","Milano"
"547623501","ITC43","Lecco"
"178769347","ITC4C","Milano"
"578213676","ITC4C","Milano"
"585184485","ITC43","Lecco"
"607254523","ITC4C","Milano"
"591578760","ITC46","Bergamo"
"533589401","ITC4C","Milano"
"533821345","ITC4B","Mantova"
"586871935","ITC4C","Milano"
"536761799","ITC47","Brescia"
"609756998","ITC41","Varese"
"577824307","ITC47","Brescia"
"575780467","ITC42","Como"
"566902704","ITC4A","Cremona"
"595433370","ITC4C","Milano"
"572289205","ITC4C","Milano"
"612565374","ITC4C","Milano"
"504304871","ITC4C","Milano"
"578216411","ITC4C","Milano"
"614838562","ITC4D","Monza e della Brianza"
"595412901","ITC4C","Milano"
"599607096","ITC4C","Milano"
"566079503","ITC4C","Milano"
"568414940","ITC41","Varese"
"575628221","ITC41","Varese"
"543979992","ITC4C","Milano"
"552762774","ITC4C","Milano"
"591307351","ITC41","Varese"
"575791706","ITC4C","Milano"
"614839714","ITC46","Bergamo"
"536765435","ITC49","Lodi"
"592526409","ITC4C","Milano"
"612930110","ITC4C","Milano"
"543984565","ITC41","Varese"
"566858008","ITC46","Bergamo"
"560057093","ITC47","Brescia"
"566080446","ITC41","Varese"
"560323105","ITC4C","Milano"
"552716624","ITC48","Pavia"
"609576312","ITC4C","Milano"
"591575708","ITC42","Como"
"542354972","ITC4C","Milano"
"593192361","ITC4C","Milano"
"580756197","ITC4D","Monza e della Brianza"
"553913348","ITC49","Lodi"
"586209840","ITC42","Como"
"547533062","ITC46","Bergamo"
"509812256","ITC41","Varese"
"507656529","ITC4C","Milano"
"563452299","ITC4C","Milano"
"547902965","ITC4C","Milano"
"563511028","ITC4C","Milano"
"536832339","ITC48","Pavia"
"608775853","ITC4C","Milano"
"563452452","ITC4C","Milano"
"509985196","ITC43","Lecco"
"556076326","ITC4C","Milano"
"504335387","ITC4C","Milano"
"547533532","ITC4C","Milano"
"547529242","ITC4C","Milano"
"563452479","ITC4C","Milano"
"536771566","ITC4C","Milano"
"556079251","ITC4C","Milano"
"580085986","ITC44","Sondrio"
"609768620","ITC48","Pavia"
"547535731","ITC4C","Milano"
"595438647","ITC4C","Milano"
"607866609","ITC47","Brescia"
"576449025","ITC48","Pavia"
"473674330","ITC41","Varese"
"612566006","ITC4D","Monza e della Brianza"
"509987398","ITC41","Varese"
"552425536","ITC4C","Milano"
"530798198","ITC4A","Cremona"
"597992448","ITC4C","Milano"
"509258153","ITC4C","Milano"
"552712361","ITC4C","Milano"
"590632714","ITC4C","Milano"
"568742464","ITC47","Brescia"
"573712067","ITC43","Lecco"
"609799400","ITC47","Brescia"
"536768469","ITC4B","Mantova"
"609757888","ITC47","Brescia"
"596135668","ITC48","Pavia"
"547536524","ITC47","Brescia"
"568306022","ITC4C","Milano"
"609327257","ITC47","Brescia"
"566335286","ITC4C","Milano"
"543519979","ITC4C","Milano"
"593048504","ITC4D","Monza e della Brianza"
"503772634","ITC4C","Milano"
"578219597","ITC4C","Milano"
"551890510","ITC4C","Milano"
"615510100","ITC4A","Cremona"
"558357893","ITC4C","Milano"
"533779294","ITC4C","Milano"
"504337476","ITC48","Pavia"
"542355617","ITC4C","Milano"
"598131701","ITC48","Pavia"
"547531484","ITC4C","Milano"
"614426892","ITC41","Varese"
"550859456","ITC4C","Milano"
"567218795","ITC4C","Milano"
"547904103","ITC4D","Monza e della Brianza"
"563451828","ITC4C","Milano"
"612922882","ITC47","Brescia"
"610533591","ITC47","Brescia"
"552347231","ITC47","Brescia"
